sample_date,site_id,comments,flags,ts_person,trapcount,arthropod_taxon_id,lt2mm,_2_5mm,_5_10mm,gt10mm,unsized
2012-02-23,11,,,2,10,780,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,150,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,3
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,87,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,700,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,62,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,780,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,403,NULL,NULL,NULL,NULL,4
2012-02-23,11,,,2,10,481,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,403,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,685,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,3,NULL,NULL,NULL,NULL,10
2012-02-23,11,NULL,NULL,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,11,NULL,NULL,2,10,421,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,481,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,620,NULL,NULL,NULL,NULL,1
2012-02-23,11,NULL,NULL,2,10,164,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,403,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,441,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,87,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,3
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,421,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,481,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,560,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,403,NULL,NULL,NULL,NULL,3
2012-02-23,11,,,2,10,443,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,87,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,338,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,403,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,620,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,780,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,361,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,87,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,3
2012-02-23,11,,,2,10,164,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,481,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,450,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,620,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,150,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,403,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,5
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,620,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,87,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,3,NULL,NULL,NULL,NULL,1
2012-02-23,11,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,11,,,2,10,481,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,403,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,360,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,87,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,3,NULL,NULL,NULL,NULL,4
2012-02-23,12,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,403,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,3,NULL,NULL,NULL,NULL,3
2012-02-23,12,,,2,10,245,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,295,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,149,NULL,NULL,NULL,NULL,3
2012-02-23,12,,,2,10,310,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,403,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,235,NULL,NULL,NULL,1,NULL
2012-02-23,12,,,2,10,182,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,3,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,245,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,617,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,360,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,538,NULL,NULL,NULL,NULL,4
2012-02-23,12,,,2,10,3,NULL,NULL,NULL,NULL,9
2012-02-23,12,,,2,10,617,NULL,NULL,NULL,NULL,3
2012-02-23,12,,,2,10,214,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,481,NULL,NULL,NULL,NULL,2
2012-02-23,12,,,2,10,150,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,403,NULL,NULL,NULL,NULL,1
2012-02-23,12,,,2,10,360,NULL,NULL,NULL,NULL,1
